time,energy_usage
2023-09-02 09:45,-0.02599999999983993
2023-09-02 10:00,-0.031999999999470674
2023-09-02 10:15,-0.08800000000064756
2023-09-02 10:30,-0.08100000000013097
2023-09-02 10:45,-0.03199999999969805
2023-09-02 11:00,-0.049999999999954525
2023-09-02 11:15,0.08999999999991815
2023-09-02 11:30,0.09100000000000819
2023-09-02 11:45,0.03999999999984993
2023-09-02 12:00,-0.30199999999979354
2023-09-02 12:15,0.12000000000034561
2023-09-02 12:30,0.05699999999944794
2023-09-02 12:45,0.0710000000007085
2023-09-02 13:00,0.22899999999992815
2023-09-02 13:15,0.060999999999467036
2023-09-02 13:30,-0.05299999999965621
2023-09-02 13:45,0.01800000000014279
2023-09-02 14:00,-0.16400000000032833
2023-09-02 14:15,-0.16899999999964166
