time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh
2023-09-02 07:30,6638.188,8975.224,999.657,2278.520
2023-09-02 07:45,6638.238,8975.224,999.657,2278.520
2023-09-02 08:00,6638.301,8975.224,999.657,2278.520
2023-09-02 08:15,6638.370,8975.224,999.657,2278.520
2023-09-02 08:30,6638.452,8975.224,999.657,2278.520
2023-09-02 08:45,6638.607,8975.224,999.657,2278.520
2023-09-02 09:00,6638.657,8975.224,999.657,2278.520
2023-09-02 09:15,6638.704,8975.224,999.657,2278.520
2023-09-02 09:30,6638.725,8975.224,999.658,2278.520
2023-09-02 09:45,6638.751,8975.224,999.658,2278.520
2023-09-02 10:00,6638.784,8975.224,999.659,2278.520
2023-09-02 10:15,6638.872,8975.224,999.659,2278.520
2023-09-02 10:30,6638.953,8975.224,999.659,2278.520
2023-09-02 10:45,6638.996,8975.224,999.670,2278.520
2023-09-02 11:00,6639.081,8975.224,999.705,2278.520
2023-09-02 11:15,6639.081,8975.224,999.795,2278.520
2023-09-02 11:30,6639.081,8975.224,999.886,2278.520
2023-09-02 11:45,6639.131,8975.224,999.976,2278.520
2023-09-02 12:00,6639.456,8975.224,999.999,2278.520
2023-09-02 12:15,6639.463,8975.224,1000.126,2278.520
2023-09-02 12:30,6639.466,8975.224,1000.186,2278.520
2023-09-02 12:45,6639.467,8975.224,1000.258,2278.520
2023-09-02 13:00,6639.467,8975.224,1000.487,2278.520
2023-09-02 13:15,6639.483,8975.224,1000.564,2278.520
2023-09-02 13:30,6639.571,8975.224,1000.599,2278.520
2023-09-02 13:45,6639.610,8975.224,1000.656,2278.520
2023-09-02 14:00,6639.777,8975.224,1000.659,2278.520
2023-09-02 14:15,6639.994,8975.224,1000.707,2278.520
2023-09-02 14:30,6640.102,8975.224,1000.746,2278.520
2023-09-02 14:45,6640.218,8975.224,1000.747,2278.520
2023-09-02 15:00,6640.263,8975.224,1000.768,2278.520
2023-09-02 15:15,6640.356,8975.224,1000.777,2278.520
2023-09-02 15:30,6640.386,8975.224,1000.803,2278.520
2023-09-02 15:45,6640.389,8975.224,1000.877,2278.520
2023-09-02 16:00,6640.393,8975.224,1000.906,2278.520
2023-09-02 16:15,6640.393,8975.224,1000.989,2278.520
2023-09-02 16:30,6640.393,8975.224,1001.068,2278.520
2023-09-02 16:45,6640.393,8975.224,1001.150,2278.520
2023-09-02 17:00,6640.393,8975.224,1001.169,2278.520
2023-09-02 17:15,6640.393,8975.224,1001.238,2278.520
2023-09-02 17:30,6640.393,8975.224,1001.270,2278.520
2023-09-02 17:45,6640.393,8975.224,1001.301,2278.520
2023-09-02 18:00,6640.393,8975.224,1001.334,2278.520
2023-09-02 18:15,6640.393,8975.224,1001.383,2278.520
